idcliente;cliente;produto;fornecedor;idfornecedor;dtstatusvenda;statusitem;idvendedor;idproduto;pesounitario;qtdnofator;estoque_anterior;pesototal;idcliente;cidade;uf;qtdvendido;vlrunitario;vlrtotal
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-13;LANCADO;3;7896744810400;0.0000;1.0000;43.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;6.2100000000000000;6.210000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-12;LANCADO;3;7896744811308;0.0000;1.0000;28.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-12;LANCADO;3;7896744811407;0.0000;2.0000;363.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;10.5600000000000000;21.120000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-12;LANCADO;3;7896744810400;0.0000;2.0000;45.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;6.2100000000000000;12.420000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;3;7896744811353;0.0000;2.0000;214.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;5.2300000000000000;10.460000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;3;7896744811308;0.0000;2.0000;30.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;12.1600000000000000;24.320000
3516;LOJA MERCONPLAS LTDA;CAIXA ORG.XADREZ 10 L - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;3;7896744816402;0.0000;2.0000;5.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;20.4100000000000000;40.820000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;3;7896744810400;0.0000;1.0000;46.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;6.2100000000000000;6.210000
635;CHURRASCARIA ZE BAIXINHO I;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;2098;7896744811407;0.0000;1.0000;364.0000;0.00000000;635;ARAPIRACA;AL;1.00000000;10.8900000000000000;10.890000
635;CHURRASCARIA ZE BAIXINHO I;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-11;LANCADO;2098;7896744811407;0.0000;1.0000;364.0000;0.00000000;635;ARAPIRACA;AL;1.00000000;10.8900000000000000;10.890000
